S.NO,deviceID,Temp,aX,aY,aZ,accSrt,gX,gY,gZ,mX,mY,mZ,horiDir,cdate,Movement,Chewing,Heat
2,I1002,36.5,-0.32,0.94,0.08,0.99,1.46,1.46,0.37,57.19,123.12,-69.82,24.91,05-03-2022 12:41,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
3,I1002,36.5,-0.31,0.93,0.09,0.98,2.56,6.96,-0.43,57.19,120.73,-68.67,25.35,05-03-2022 12:41,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
4,I1002,36.5,-0.28,0.93,0.11,0.98,0.31,-3.23,-2.2,59.57,120.73,-68.67,26.26,05-03-2022 12:41,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
5,I1002,36.5,-0.32,0.94,0.11,1,1.04,-3.72,-1.28,58.38,120.73,-69.82,25.81,05-03-2022 12:41,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
6,I1002,36.5,-0.31,0.96,0.09,1.02,-0.12,-2.26,-0.55,58.38,121.92,-69.82,25.59,05-03-2022 12:41,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
7,I1002,36.5,-0.28,0.92,0.07,0.97,2.99,3.72,0.98,56,121.92,-68.67,24.67,05-03-2022 12:41,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
8,I1002,36.5,-0.3,0.95,0.12,1.01,-3.97,-3.54,-1.71,59.57,120.73,-69.82,26.26,05-03-2022 12:41,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
9,I1002,36.5,-0.31,0.95,0.11,1,-4.09,-12.39,1.89,60.76,118.34,-70.96,27.18,05-03-2022 12:41,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
10,I1002,36.5,-0.31,0.92,0.1,0.97,4.82,0,-1.83,59.57,119.53,-69.82,26.49,05-03-2022 12:41,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
11,I1002,36.5,-0.32,0.98,0.07,1.03,2.32,-0.55,-0.55,61.95,118.34,-67.53,27.63,05-03-2022 12:41,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
12,I1002,36.5,-0.31,0.94,0.1,1,0.18,2.01,0.98,59.57,119.53,-65.24,26.49,05-03-2022 12:41,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
13,I1002,36.5,-0.29,0.94,0.12,0.99,3.66,2.44,-1.34,59.57,119.53,-66.38,26.49,05-03-2022 12:41,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
14,I1002,36.5,-0.31,0.94,0.12,1,-7.02,-11.78,2.14,57.19,119.53,-68.67,25.57,05-03-2022 12:41,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
15,I1002,36.5,-0.3,0.94,0.06,0.99,2.75,-1.53,2.26,59.57,118.34,-67.53,26.72,05-03-2022 12:41,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
16,I1002,36.5,-0.29,0.92,0.09,0.97,5.62,2.38,-1.04,59.57,118.34,-66.38,26.72,05-03-2022 12:41,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
17,I1002,36.5,-0.29,0.94,0.12,0.99,0.67,-2.75,-3.11,63.14,118.34,-65.24,28.08,05-03-2022 12:41,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
18,I1002,36.5,-0.28,0.93,0.09,0.98,-1.53,-1.59,0.98,57.19,120.73,-66.38,25.35,05-03-2022 12:41,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
19,I1002,36.5,-0.3,0.94,0.09,0.99,1.83,0.98,1.34,61.95,119.53,-67.53,27.4,05-03-2022 12:41,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
20,I1002,36.5,-0.28,0.94,0.1,0.98,0.12,0.18,-1.4,60.76,115.95,-66.38,27.66,05-03-2022 12:41,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
21,I1002,36.5,-0.3,0.93,0.08,0.98,-5.92,-5.86,1.04,61.95,118.34,-65.24,27.63,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
22,I1002,36.5,-0.29,0.93,0.06,0.97,1.28,2.26,1.95,57.19,121.92,-69.82,25.13,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
23,I1002,36.5,-0.28,0.94,0.11,0.98,2.93,-1.59,-2.93,59.57,123.12,-66.38,25.82,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
