S.NO,deviceID,Temp,aX,aY,aZ,accSrt,gX,gY,gZ,mX,mY,mZ,horiDir,cdate,Movement,Chewing,Heat
62,I1003,36,-0.31,0.92,0.24,1,-1.16,1.34,-1.95,24.94,53.61,-113.7,24.94,05-03-2022 12:40,Sitting,Head Upright But Moving Jaw/ Rumination,No
63,I1003,36,-0.3,0.92,0.22,0.99,-5.68,7.26,0.24,26.13,53.61,-113.7,25.98,05-03-2022 12:40,Sitting,Head Upright But Moving Jaw/ Rumination,No
64,I1003,36,-0.35,0.97,0.2,1.05,-10.86,8.36,2.56,24.94,53.61,-114.84,24.94,05-03-2022 12:40,Sitting,Head Upright But Moving Jaw/ Rumination,No
65,I1003,36,-0.29,0.89,0.21,0.96,11.23,-3.72,-0.61,27.31,53.61,-113.7,27,05-03-2022 12:40,Sitting,Head Upright But Moving Jaw/ Rumination,No
66,I1003,36,-0.33,0.9,0.25,0.99,-3.11,-4.03,-0.55,23.75,53.61,-114.84,23.89,05-03-2022 12:40,Sitting,Head Upright But Moving Jaw/ Rumination,No
67,I1003,36,-0.31,0.91,0.24,0.99,-4.15,3.36,0.55,27.31,52.42,-114.84,27.52,05-03-2022 12:40,Sitting,Head Upright But Moving Jaw/ Rumination,No
68,I1003,36,-0.33,0.93,0.23,1.01,-0.43,6.65,0.49,24.94,52.42,-112.55,25.44,05-03-2022 12:40,Sitting,Head Upright But Moving Jaw/ Rumination,No
69,I1003,36,-0.32,0.87,0.23,0.96,4.76,-3.72,-0.73,29.69,51.23,-113.7,30.09,05-03-2022 12:40,Sitting,Head Upright But Moving Jaw/ Rumination,No
70,I1003,36,-0.32,0.91,0.25,1,0.18,1.4,-1.28,24.94,53.61,-113.7,24.94,05-03-2022 12:40,Sitting,Head Upright But Moving Jaw/ Rumination,No
71,I1003,36,-0.33,0.9,0.24,0.99,-1.04,3.85,-2.08,22.56,46.46,-111.4,25.9,05-03-2022 12:40,Sitting,Head Upright But Moving Jaw/ Rumination,No
72,I1003,36,-0.28,0.92,0.24,0.99,0.55,11.47,1.83,24.94,46.46,-110.25,28.22,05-03-2022 12:40,Sitting,Head Upright But Moving Jaw/ Rumination,No
73,I1003,36,-0.31,0.88,0.22,0.96,-7.87,-5.55,2.38,24.94,48.85,-109.1,27.05,05-03-2022 12:40,Sitting,Head Upright But Moving Jaw/ Rumination,No
74,I1003,36,-0.32,0.94,0.23,1.02,-2.93,-0.73,-0.18,22.56,45.27,-109.1,26.49,05-03-2022 12:40,Sitting,Head Upright But Moving Jaw/ Rumination,No
